Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.610254358,5.902576393,3.163104664,1.498612445,0.8344337301,1.090960291,0.811182834,1.066043297,1.116225447,1.006791798,1.159761363,1.180062452,1.028353553,1.159732241,1.253034693,1.49601075,1.517763067,1.773161496,1.956930336,1.561583522,1.508351191,1.71734336,1.9831921,1.89812717,1.881607731,1.825292192,1.726752782,1.806581049,1.880246268
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,0.677418163,0.8666666667,1.838457269,1.487469357,1.590447772,2.561321317,5.81461143,9.221391248,15.83561249,19.79105628,7.198709959,6.60987662,5.832070353,5.18515609,6.798488306,11.2927989,6.469135406,7.491859979,7.920597053,6.570623749,2.311844296,1.721066857,4.748462286,1.365205005,2.374077431,4.035866311,4.037892282,4.456516455,4.631399981,4.61280178,3.358226856,3.472057826,4.49898385,3.800720617,3.720182735,3.931733458,3.98996808,4.183691969,4.507026865,4.419208828,4.341705369,4.532974149,4.98097014,5.169522513,4.978406163,5.033021532,5.319470471,5.474300539,5.621003818,16.02434779,5.566284221,5.714285714,7.96398509,5.136050705,5.18571336,5.236665206,5.289885738,5.239717055,5.504663385
Australia,8.582936643,8.641569017,8.835688047,9.226439909,9.759073431,10.62232139,10.32809244,10.9556248,11.21016771,11.60055435,11.80289054,11.80911757,11.95163155,12.77968685,12.55966873,12.65989981,12.41679178,13.23189614,14.06985862,14.12909198,15.02491601,15.43250084,15.42493181,14.64008413,15.2209753,15.3084102,14.98057315,15.7469578,15.79616778,16.51986292,15.44673046,15.31532053,15.33923978,15.4163129,15.60739289,15.99214254,16.36120365,16.56693849,17.51162418,17.59695657,17.68965697,17.76953588,17.95749921,17.69202931,18.14789789,18.11785357,18.12067891,18.50285198,18.28304124,18.20742496,17.58144496,17.26811037,16.96925656,16.398646,15.7558761,15.7864494,15.87207954,15.7386474,15.47551649
Austria,4.373318828,4.496361641,4.755361673,5.155193747,5.391003988,5.252196533,5.361724683,5.417736727,5.711110104,6.006325178,6.788807307,6.953651912,7.448516814,7.930866985,7.562697278,7.176844855,7.721250012,7.428063284,7.601371804,8.158846402,6.928479,7.416160614,7.112124941,6.874373273,7.214278667,7.230766353,7.144304852,7.623419815,7.032030698,7.102448997,7.58936421,8.049113779,7.355202189,7.311242503,7.34490087,7.697264741,8.154273323,8.059697484,8.107272237,7.888819322,7.929785513,8.444109161,8.583317135,9.16834402,9.275613726,9.266113819,8.96156938,8.587802018,8.499673616,7.721144201,8.365015011,8.135474781,7.723614414,7.753699576,7.253383781,7.306745266,7.255626516,7.482751479,7.146637625
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.03464171,9.218814468,6.044432403,7.140760507,6.262998552,5.95575797,5.201597321,5.035562785,4.977884494,4.857975009,4.971050866,4.773646316,4.665961001,4.17046186,4.104014928,4.367332591,4.027320247,3.205807978,3.375402241,2.809804093,2.667231553,3.113457396,3.309026974,3.333403775,3.422100645,3.333906429,3.347061821,3.244356904,3.221402183
Burundi,,,0.01513558879,0.01608107634,0.01575228035,0.01185052376,0.01503581774,0.0146535043,0.01648371407,0.02148270502,0.01791829426,0.02077620397,0.02054540285,0.02034328954,0.02514104214,0.02080775945,0.02333891118,0.02568695994,0.02599876838,0.02715465565,0.03528254904,0.0369577548,0.0360024723,0.04565869728,0.04761208164,0.04862748251,0.04802542388,0.04960193096,0.04398666358,0.0504404597,0.03493315541,0.04133031131,0.03517677826,0.03621904867,0.03559947136,0.03674601356,0.0363029714,0.03756862399,0.03718335143,0.03669940253,0.04075956388,0.03218121518,0.03281565151,0.02460501355,0.02243508129,0.02172479384,0.02497420428,0.02416618398,0.02461204041,0.02381615547,0.03688503143,0.04130199056,0.04218043883,0.04297557876,0.03961683008,0.04035419567,0.04385964076,0.05264611375,0.05279463005
Belgium,9.941594074,10.10387199,10.64118963,11.38692874,11.05365472,11.14165555,11.04201943,11.21725675,12.32568713,12.81544961,13.01017881,12.56342518,13.47269526,14.2554864,13.83696555,12.4583039,13.24167979,12.87543872,13.80705794,14.23923382,13.72329627,12.57955507,11.92668478,10.31207942,10.69696639,10.59744025,10.43154171,10.44717278,10.13514385,10.81351494,10.96677472,11.39089005,11.18250206,10.91876374,11.35869013,11.30237113,11.76078263,11.45635922,11.70341139,11.29525399,11.44055603,11.50432068,10.72798863,11.13131453,10.94122455,10.55578231,10.30057192,9.843116218,9.984152154,9.231701442,9.771847058,8.658064348,8.549615681,8.65727005,8.043495541,8.444061111,8.323756718,8.155491115,8.179711061
Benin,0.0663541997,0.05204867258,0.05420878286,0.04758846718,0.05530361827,0.0571148866,0.04238264771,0.05228405722,0.05517074869,0.07075035685,0.09695268887,0.09855622654,0.1277128155,0.1224813974,0.1277013678,0.1358910586,0.07778424095,0.08650990477,0.1030192685,0.1013398023,0.1390972842,0.1123101699,0.1251052456,0.1125531567,0.1208565973,0.1739863625,0.155688132,0.1188573009,0.118496787,0.1308550587,0.07632837996,0.06408394142,0.06751934851,0.07606269087,0.07000086626,0.07789280325,0.1722929334,0.1974005531,0.2009188172,0.2130819726,0.2228389212,0.2600071672,0.290594073,0.3164659634,0.3264514865,0.3482739082,0.4661129213,0.5192322932,0.5001773617,0.525450062,0.5522186908,0.5263809334,0.4871904876,0.5017694871,0.5356358741,0.566378737,0.6650066335,0.6586016598,0.6887223243
Burkina Faso,0.009111900323,0.01872990124,0.01700310947,0.01750423793,0.0215752798,0.01984125604,0.01953366969,0.01921682942,0.01889494495,0.02188987607,0.02542637759,0.0262689272,0.02769840008,0.02844316653,0.0339984222,0.03574913796,0.03331494006,0.03896837176,0.05334169369,0.0610098902,0.06342024586,0.07979538353,0.08042723796,0.08092375468,0.06183696999,0.06168681097,0.06057191248,0.06351866321,0.06626331493,0.09573722892,0.06696150156,0.06629771253,0.06561178689,0.06490465872,0.0631584266,0.06342989213,0.06941275078,0.07688303428,0.08022812503,0.08242710785,0.09045524055,0.08539431537,0.08297339556,0.08692474782,0.08671911357,0.08568064143,0.1012352655,0.1178779527,0.1300228561,0.1274676381,0.1339296213,0.1367996287,0.1635362253,0.173961012,0.1717272273,0.1877351935,0.187704296,0.2120538715,0.2161864846
Bangladesh,0.2948049721,0.2969237747,0.3173356006,0.3546737704,0.3542014778,0.3606411102,0.3556161012,0.3654312708,0.4060769962,0.3827899004,0.3789029589,0.3521418472,0.05267214729,0.067335594,0.06780049967,0.06950238995,0.07773883482,0.07911667212,0.07975539255,0.08575200983,0.09591171707,0.09700332587,0.102453194,0.09560998295,0.1031876743,0.1127603092,0.1230103883,0.1239949962,0.1379611117,0.1336129572,0.1116582484,0.102557668,0.1094609568,0.1139096238,0.1201018109,0.1437007001,0.1429665145,0.157872086,0.1569086879,0.1606362762,0.1695939417,0.198172464,0.2070531262,0.2124019629,0.2228687924,0.2352636472,0.2547523844,0.2662967793,0.2881413734,0.3066648132,0.3427399735,0.3645666071,0.3840251549,0.3965661145,0.4128985227,0.4587975395,0.4667763631,0.4929066129,0.5128373138
Bulgaria,2.833901121,3.269920074,3.835891818,4.259780927,5.262987916,5.645651942,5.905436715,6.638369161,7.112214403,7.869932816,7.213424372,7.532552676,7.715656701,7.983550221,8.210958036,8.377877479,8.347946173,8.628766462,9.236529547,8.968132006,8.744238667,9.03643153,10.10727531,10.10833662,9.749961471,9.992783476,10.21729994,10.214134,9.718843491,9.771261867,8.437435373,6.789563048,6.455379545,6.570814841,6.338535346,6.506015239,6.583898792,6.420784816,6.127081409,5.395448629,5.30343792,5.765911005,5.567066952,6.159226487,6.1138857,6.251491715,6.442554699,6.973842656,6.677289648,5.772090672,6.0644175,6.759360769,6.175840637,5.48098688,5.845841977,6.225976043,5.855926256,6.223901903,5.854773434
Bahrain,3.544434799,10.54896694,9.191856301,6.710612882,8.742027908,6.554083614,3.384305342,5.124747526,5.500902059,6.175827643,12.19418458,13.79841678,16.06655873,23.05586427,21.45687314,21.58596458,23.17188965,24.63866358,24.01073986,23.72611171,21.91659558,22.7888779,25.4916039,20.75602786,22.6107339,24.30514892,25.40382903,25.45773429,26.14679986,24.39935687,21.65641314,20.30359266,23.45712527,24.37468762,24.32722575,24.01995395,24.48756699,24.23826789,25.2730582,24.27184466,23.8937121,23.49652355,23.42410969,23.06384421,21.60641854,23.28047803,23.47606433,22.21205417,22.22232191,20.86787756,20.93702452,20.36532403,20.43937345,21.87024012,22.61852459,22.30559688,21.18119531,20.33362404,19.59297584
"Bahamas, The",3.74962568,4.74624519,5.995986523,5.557805874,8.118110766,9.399207483,7.46521748,11.17247954,10.28575841,10.62607372,15.19833979,38.71675849,36.49207536,43.37314,39.91791146,43.69844093,33.51384375,49.30263825,32.79664685,33.64530489,37.9430692,13.01121581,10.27576732,8.959994669,8.070452736,6.440491263,5.906597774,5.848749306,6.224020109,7.734934734,6.946964996,7.202871954,9.510277114,7.747219302,7.395350355,7.423825483,6.937108247,6.159456854,7.811424639,7.583408997,7.180123807,7.038576687,7.410850395,7.185674639,6.773431841,6.218292863,6.102129099,6.135387552,6.13943203,17.21967963,5.860211418,6.730017826,10.01152425,8.470375475,7.069139966,6.333511491,5.794831222,5.631972841,5.86046391
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.370319006,4.906942041,3.772138283,3.285167225,0.802738048,0.8801140962,1.113053568,2.272441362,2.881367461,2.81031471,3.718833774,3.663945867,3.872969783,3.949838644,4.136343663,4.31037688,4.756438986,5.020209733,5.529716767,5.511323106,5.624105716,6.484260645,6.091586842,6.167789854,5.597187449,5.718264797,6.597243038,6.758099426,6.781131607
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.799784081,9.440847557,8.592404072,7.446039652,6.323457514,5.643515794,5.755905512,5.836710487,5.683781905,5.483338649,5.309826737,5.211234794,5.247554419,5.364024331,5.731671447,5.844422266,6.122901129,5.998356022,6.325576709,6.016768059,6.476946674,6.15949969,6.317294267,6.33108166,6.276841095,5.784217191,5.810640682,5.921082,6.2540208
Belize,0.4779510796,0.3872228089,0.7153873008,0.6223631009,0.818296481,0.7947700716,0.7377729817,1.073677766,0.8846422263,1.137588141,0.990399725,1.145983413,1.240098465,1.13446873,1.172948479,1.32080682,1.302442598,1.445492372,1.556776399,1.479235963,1.322889928,1.242444366,1.137722298,1.106077525,1.07489039,1.15623522,1.211023241,1.304136337,1.392871307,1.638918412,1.759493266,2.249707015,2.573022375,2.327640734,2.231268501,2.222630241,1.684919966,2.076046485,1.954414371,1.715631917,1.819578666,2.077877272,1.981805501,1.892899031,1.591227994,1.656107513,1.750544042,1.772391491,1.62960935,4.640002542,1.736622579,1.93800797,2.041414079,1.446311472,1.386664252,1.828629691,1.764391326,1.729758499,1.775127848
Bermuda,3.551373874,3.868483516,3.383712446,3.151928721,4.124437628,3.586487026,3.954607843,4.090115385,4.220509434,3.667,4.133709091,4.231153846,4.668321033,7.906542751,8.30911985,8.648584906,8.822857143,8.515131086,7.936044776,8.588141264,7.981946223,7.0608901,7.142347022,8.064384051,7.863938465,7.92718549,7.349081594,9.888710263,11.06127136,13.27426454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,0.2747521781,0.2792815358,0.2892719319,0.3128943638,0.3743199118,0.3740664766,0.4100618627,0.4495876739,0.5068497613,0.5806381868,0.5544656071,0.6682912999,0.7627849185,0.7225327398,0.7188147319,0.8116444293,0.8956919173,0.857088209,0.9406001483,0.8673390313,0.836585643,0.8412649739,0.7479884231,0.723162979,0.6674842909,0.6675947413,0.598657913,0.625507231,0.6547897837,0.7430988034,0.8274046922,0.822938916,0.9523919911,1.069349503,1.210693963,1.091529183,1.043800008,1.043155783,1.063388187,0.9640228139,0.9503140194,0.9195542691,0.9413436531,1.022926581,1.038698235,1.090735668,1.187809119,1.259620034,1.339305415,1.403165874,1.496726359,1.610699983,1.662221709,1.760514116,1.883899311,1.877691189,1.958878597,1.987875656,2.000327663
